SequenceNames,Region,Continent,Year
A/Virginia/01/2007,North,NorthAmerica,2007
A/Colorado/15/2007,North,NorthAmerica,2007
A/Texas/08/2007,North,NorthAmerica,2007
A/Wisconsin/27/2007,North,NorthAmerica,2007
A/Texas/10/2007,North,NorthAmerica,2007
A/Massachusetts/06/2007,North,NorthAmerica,2007
A/Pennsylvania/05/2007,North,NorthAmerica,2007
A/South_Carolina/01/2007,North,NorthAmerica,2007
A/Idaho/05/2007,North,NorthAmerica,2007
A/Wisconsin/24/2007,North,NorthAmerica,2007
A/Vermont/01/2007,North,NorthAmerica,2007
A/South_Dakota/02/2007,North,NorthAmerica,2007
A/Vermont/05/2007,North,NorthAmerica,2007
A/Washington/14/2007,North,NorthAmerica,2007
A/Idaho/10/2007,North,NorthAmerica,2007
A/Minnesota/08/2007,North,NorthAmerica,2007
A/Washington/20/2007,North,NorthAmerica,2007
A/Idaho/09/2007,North,NorthAmerica,2007
A/Rhode_Island/03/2007,North,NorthAmerica,2007
A/Alaska/06/2007,North,NorthAmerica,2007
A/Texas/11/2007,North,NorthAmerica,2007
A/South_Dakota/01/2007,North,NorthAmerica,2007
A/Minnesota/17/2007,North,NorthAmerica,2007
A/Wyoming/04/2007,North,NorthAmerica,2007
A/Minnesota/16/2007,North,NorthAmerica,2007
A/Virginia/UR06-0021/2007,North,NorthAmerica,2007
A/Colorado/UR06-0023/2007,North,NorthAmerica,2007
A/Washington/UR06-0225/2007,North,NorthAmerica,2007
A/Oregon/UR06-0450/2007,North,NorthAmerica,2007
A/Wisconsin/67/2005,North,NorthAmerica,2005
A/Ohio/UR06-0410/2007,North,NorthAmerica,2007
A/Colorado/UR06-022/2007,North,NorthAmerica,2007
A/Texas/UR06-0358/2007,North,NorthAmerica,2007
A/California/UR06-0463/2007,North,NorthAmerica,2007
A/Oregon/UR06-0221/2007,North,NorthAmerica,2007
A/Kentucky/UR06-0044/2007,North,NorthAmerica,2007
A/Illinois/UR06-0600/2007,North,NorthAmerica,2007
A/Virginia/UR06-0605/2007,North,NorthAmerica,2007
A/Delaware/13/2007,North,NorthAmerica,2007
A/Ohio/06/2006,North,NorthAmerica,2006
A/Georgia/05/2007,North,NorthAmerica,2007
A/Ohio/07/2006,North,NorthAmerica,2006
A/Michigan/07/2007,North,NorthAmerica,2007
A/New_Jersey/14/2007,North,NorthAmerica,2007
A/Hawaii/12/2007,North,NorthAmerica,2007
A/Hawaii/13/2007,North,NorthAmerica,2007
A/Georgia/07/2007,North,NorthAmerica,2007
A/Michigan/08/2007,North,NorthAmerica,2007
A/Texas/35/2007,North,NorthAmerica,2007
A/New_York/13/2007,North,NorthAmerica,2007
A/Texas/34/2007,North,NorthAmerica,2007
A/Massachusetts/12/2007,North,NorthAmerica,2007
A/Georgia/06/2007,North,NorthAmerica,2007
A/Alaska/05/2007,North,NorthAmerica,2007
A/Michigan/10/2007,North,NorthAmerica,2007
A/Colorado/14/2007,North,NorthAmerica,2007
A/Texas/33/2007,North,NorthAmerica,2007
A/Hawaii/14/2007,North,NorthAmerica,2007
A/Texas/37/2007,North,NorthAmerica,2007
A/Texas/63/2007,North,NorthAmerica,2007
A/Texas/68/2007,North,NorthAmerica,2007
A/California/30/2007,North,NorthAmerica,2007
A/Texas/36/2007,North,NorthAmerica,2007
A/Florida/04/2007,North,NorthAmerica,2007
A/Montana/05/2007,North,NorthAmerica,2007
A/Texas/71/2007,North,NorthAmerica,2007
A/Texas/72/2007,North,NorthAmerica,2007
A/Florida/07/2007,North,NorthAmerica,2007
A/Wisconsin/03/2007,North,NorthAmerica,2007
A/Texas/12/2007,North,NorthAmerica,2007
A/Arizona/09/2007,North,NorthAmerica,2007
A/New_Jersey/19/2007,North,NorthAmerica,2007
A/Wisconsin/32/2007,North,NorthAmerica,2007
A/Arizona/10/2007,North,NorthAmerica,2007
A/Texas/91/2007,North,NorthAmerica,2007
A/Florida/11/2007,North,NorthAmerica,2007
A/California/35/2007,North,NorthAmerica,2007
A/California/33/2007,North,NorthAmerica,2007
A/Washington/36/2007,North,NorthAmerica,2007
A/Arizona/12/2007,North,NorthAmerica,2007
A/Montana/08/2007,North,NorthAmerica,2007
A/North_Carolina/05/2007,North,NorthAmerica,2007
A/Texas/95/2007,North,NorthAmerica,2007
A/Wisconsin/34/2007,North,NorthAmerica,2007
A/Missouri/06/2007,North,NorthAmerica,2007
A/Arkansas/02/2008,North,NorthAmerica,2008
A/Wisconsin/33/2007,North,NorthAmerica,2007
A/Arkansas/04/2008,North,NorthAmerica,2008
A/Morioka/17/2006,North,Asia,2006
A/Morioka/18/2006,North,Asia,2006
A/Morioka/22/2006,North,Asia,2006
A/Wisconsin/07/2008,North,NorthAmerica,2008
A/Maryland/03/2008,North,NorthAmerica,2008
A/Texas/04/2008,North,NorthAmerica,2008
A/Texas/02/2008,North,NorthAmerica,2008
A/Texas/01/2008,North,NorthAmerica,2008
A/Wisconsin/05/2008,North,NorthAmerica,2008
A/Texas/03/2008,North,NorthAmerica,2008
A/South_Dakota/01/2008,North,NorthAmerica,2008
A/Mississippi/01/2008,North,NorthAmerica,2008
A/Indiana/02/2008,North,NorthAmerica,2008
A/Tennessee/02/2008,North,NorthAmerica,2008
A/Minnesota/02/2008,North,NorthAmerica,2008
A/Minnesota/04/2008,North,NorthAmerica,2008
A/Florida/07/2008,North,NorthAmerica,2008
A/Hawaii/03/2008,North,NorthAmerica,2008
A/Mississippi/05/2008,North,NorthAmerica,2008
A/Virginia/02/2008,North,NorthAmerica,2008
A/Idaho/03/2008,North,NorthAmerica,2008
A/Wisconsin/10/2008,North,NorthAmerica,2008
A/Texas/05/2008,North,NorthAmerica,2008
A/Louisiana/04/2008,North,NorthAmerica,2008
A/Louisiana/05/2008,North,NorthAmerica,2008
A/New_York/06/2008,North,NorthAmerica,2008
A/Nebraska/03/2008,North,NorthAmerica,2008
A/Texas/06/2008,North,NorthAmerica,2008
A/Iowa/02/2008,North,NorthAmerica,2008
A/Hong_Kong/CUHK12316/2005,North,Asia,2005
A/Hong_Kong/CUHK12420/2005,North,Asia,2005
A/Hong_Kong/CUHK13126/2004,North,Asia,2004
A/Hong_Kong/CUHK21164/2004,North,Asia,2004
A/Hong_Kong/CUHK21259/2004,North,Asia,2004
A/Hong_Kong/CUHK24289/2004,North,Asia,2004
A/Hong_Kong/CUHK33677/2004,North,Asia,2004
A/Hong_Kong/CUHK33851/2004,North,Asia,2004
A/Hong_Kong/CUHK33894/2004,North,Asia,2004
A/Hong_Kong/CUHK35013/2004,North,Asia,2004
A/Hong_Kong/CUHK35117/2004,North,Asia,2004
A/Hong_Kong/CUHK40022/2005,North,Asia,2005
A/Hong_Kong/CUHK40139/2005,North,Asia,2005
A/Hong_Kong/CUHK42241/2005,North,Asia,2005
A/Hong_Kong/CUHK43751/2005,North,Asia,2005
A/Hong_Kong/CUHK50372/2004,North,Asia,2004
A/Hong_Kong/CUHK53005/2006,North,Asia,2006
A/Hong_Kong/CUHK53726/2004,North,Asia,2004
A/Hong_Kong/CUHK6422/2005,North,Asia,2005
A/Hong_Kong/CUHK6554/2004,North,Asia,2004
A/Hong_Kong/CUHK6898/2005,North,Asia,2005
A/Hong_Kong/CUHK7047/2005,North,Asia,2005
A/Hong_Kong/CUHK7221/2005,North,Asia,2005
A/Hong_Kong/CUHK7546/2005,North,Asia,2005
A/Minnesota/05/2008,North,NorthAmerica,2008
A/Florida/10/2008,North,NorthAmerica,2008
A/New_York/07/2008,North,NorthAmerica,2008
A/Arkansas/05/2008,North,NorthAmerica,2008
A/Washington/03/2008,North,NorthAmerica,2008
A/Tennessee/04/2008,North,NorthAmerica,2008
A/Nebraska/02/2008,North,NorthAmerica,2008
A/Washington/04/2008,North,NorthAmerica,2008
A/Vermont/02/2008,North,NorthAmerica,2008
A/Oregon/01/2008,North,NorthAmerica,2008
A/Minnesota/07/2008,North,NorthAmerica,2008
A/New_York/09/2008,North,NorthAmerica,2008
A/Washington/42/2007,North,NorthAmerica,2007
A/Mississippi/04/2008,North,NorthAmerica,2008
A/Cheongju/H380/2007,North,Asia,2007
A/Cheongju/H397/2008,North,Asia,2008
A/Cheongju/H395/2007,North,Asia,2007
A/Cheongju/H471/2008,North,Asia,2008
A/Cheongju/H412/2008,North,Asia,2008
A/Minnesota/14/2008,North,NorthAmerica,2008
A/New_Mexico/02/2008,North,NorthAmerica,2008
A/Pennsylvania/PIT06/2008,North,NorthAmerica,2008
A/Pennsylvania/PIT12/2008,North,NorthAmerica,2008
A/Pennsylvania/PIT20/2008,North,NorthAmerica,2008
A/Pennsylvania/PIT43/2008,North,NorthAmerica,2008
A/Mississippi/UR06-0197/2007,North,NorthAmerica,2007
A/Alaska/04/2008,North,NorthAmerica,2008
A/Kentucky/01/2008,North,NorthAmerica,2008
A/Texas/19/2008,North,NorthAmerica,2008
A/Ohio/14/2008,North,NorthAmerica,2008
A/California/08/2008,North,NorthAmerica,2008
A/California/09/2008,North,NorthAmerica,2008
A/Hawaii/18/2008,North,NorthAmerica,2008
A/Illinois/14/2008,North,NorthAmerica,2008
A/Texas/12/2008,North,NorthAmerica,2008
A/Texas/13/2008,North,NorthAmerica,2008
A/Missouri/05/2008,North,NorthAmerica,2008
A/New_York/08/2008,North,NorthAmerica,2008
A/Pennsylvania/PIT42/2008,North,NorthAmerica,2008
A/Mississippi/UR07-0004/2008,North,NorthAmerica,2008
A/Ohio/UR07-0089/2008,North,NorthAmerica,2008
A/Ohio/UR07-0140/2008,North,NorthAmerica,2008
A/Idaho/17/2008,North,NorthAmerica,2008
A/Montana/02/2008,North,NorthAmerica,2008
A/Massachusetts/06/2008,North,NorthAmerica,2008
A/Wisconsin/18/2008,North,NorthAmerica,2008
A/Washington/09/2008,North,NorthAmerica,2008
A/Idaho/18/2008,North,NorthAmerica,2008
A/New_York/29/2008,North,NorthAmerica,2008
A/Hawaii/47/2008,North,NorthAmerica,2008
A/Kuwait/AF03/2008,North,Asia,2008
A/Kentucky/UR07-0037/2008,North,NorthAmerica,2008
A/California/UR07-0053/2008,North,NorthAmerica,2008
A/Kentucky/UR07-0068/2008,North,NorthAmerica,2008
A/Kentucky/UR07-0081/2008,North,NorthAmerica,2008
A/Ohio/UR07-0105/2008,North,NorthAmerica,2008
A/New_York/UR07-0111/2008,North,NorthAmerica,2008
A/Kansas/UR07-0137/2008,North,NorthAmerica,2008
A/New_York/UR07-0093/2008,North,NorthAmerica,2008
A/Mississippi/UR07-0100/2008,North,NorthAmerica,2008
A/Kentucky/UR07-0109/2008,North,NorthAmerica,2008
A/Ohio/UR07-0035/2008,North,NorthAmerica,2008
A/Kentucky/UR07-0124/2008,North,NorthAmerica,2008
A/California/UR07-0063/2008,North,NorthAmerica,2008
A/Pennsylvania/PIT39/2008,North,NorthAmerica,2008
A/Hong_Kong/HKU2/2004,North,Asia,2004
A/Hong_Kong/HKU8/2004,North,Asia,2004
A/Hong_Kong/HKU11/2004,North,Asia,2004
A/Hong_Kong/HKU12/2004,North,Asia,2004
A/Hong_Kong/HKU19/2004,North,Asia,2004
A/Hong_Kong/HKU22/2004,North,Asia,2004
A/Hong_Kong/HKU31/2004,North,Asia,2004
A/Hong_Kong/HKU34/2004,North,Asia,2004
A/Hong_Kong/HKU42/2005,North,Asia,2005
A/Hong_Kong/HKU62/2005,North,Asia,2005
A/Hong_Kong/HKU68/2005,North,Asia,2005
A/Hong_Kong/HKU69/2005,North,Asia,2005
A/Hong_Kong/HKU70/2005,North,Asia,2005
A/Hong_Kong/HKU4/2004,North,Asia,2004
A/Mississippi/UR07-0042/2008,North,NorthAmerica,2008
A/Hong_Kong/HKU44/2005,North,Asia,2005
A/Hong_Kong/HKU1/2004,North,Asia,2004
A/Taiwan/70002/2007,North,Asia,2007
A/Taiwan/70113/2007,North,Asia,2007
A/Kentucky/UR07-0116/2008,North,NorthAmerica,2008
A/Hong_Kong/HKU56/2005,North,Asia,2005
A/Taiwan/70307/2007,North,Asia,2007
A/Taiwan/2361/2007,North,Asia,2007
A/Taiwan/9/2004,North,Asia,2004
A/Taiwan/70120/2008,North,Asia,2008
A/Taiwan/72106/2007,North,Asia,2007
A/Taiwan/1452/2007,North,Asia,2007
A/Hong_Kong/HKU18/2004,North,Asia,2004
A/Hong_Kong/HKU38/2004,North,Asia,2004
A/Hong_Kong/HKU75/2005,North,Asia,2005
A/Hong_Kong/HKU76/2005,North,Asia,2005
A/Colorado/15/2008,North,NorthAmerica,2008
A/Maryland/10/2008,North,NorthAmerica,2008
A/Minnesota/36/2008,North,NorthAmerica,2008
A/Texas/39/2008,North,NorthAmerica,2008
A/Wisconsin/24/2008,North,NorthAmerica,2008
A/Colorado/06/2009,North,NorthAmerica,2009
A/Maryland/02/2009,North,NorthAmerica,2009
A/Minnesota/37/2008,North,NorthAmerica,2008
A/Colorado/05/2009,North,NorthAmerica,2009
A/Hawaii/07/2009,North,NorthAmerica,2009
A/Hawaii/10/2009,North,NorthAmerica,2009
A/Oregon/03/2009,North,NorthAmerica,2009
A/Texas/03/2009,North,NorthAmerica,2009
A/Colorado/01/2009,North,NorthAmerica,2009
A/Hawaii/05/2009,North,NorthAmerica,2009
A/Indiana/10/2009,North,NorthAmerica,2009
A/Montana/04/2009,North,NorthAmerica,2009
A/Hawaii/14/2009,North,NorthAmerica,2009
A/Indiana/02/2009,North,NorthAmerica,2009
A/New_Hampshire/01/2009,North,NorthAmerica,2009
A/Pennsylvania/02/2009,North,NorthAmerica,2009
A/Hawaii/06/2009,North,NorthAmerica,2009
A/Montana/05/2009,North,NorthAmerica,2009
A/Virginia/02/2009,North,NorthAmerica,2009
A/Wyoming/02/2009,North,NorthAmerica,2009
A/Arizona/11/2009,North,NorthAmerica,2009
A/Hawaii/15/2009,North,NorthAmerica,2009
A/New_York/67/2009,North,NorthAmerica,2009
A/Hong_Kong/HKU28/2004,North,Asia,2004
A/Boston/88/2008,North,NorthAmerica,2008
A/California/VRDL383/2009,North,NorthAmerica,2009
A/California/NHRC0002/2005,North,NorthAmerica,2005
A/California/UR07-0017/2008,North,NorthAmerica,2008
A/Kentucky/UR07-0069/2008,North,NorthAmerica,2008
A/Ohio/UR07-0073/2008,North,NorthAmerica,2008
A/Kentucky/UR07-0148/2008,North,NorthAmerica,2008
A/Hong_Kong/HKU3/2004,North,Asia,2004
A/Hong_Kong/HKU6/2004,North,Asia,2004
A/Hong_Kong/HKU9/2004,North,Asia,2004
A/Hong_Kong/HKU10/2004,North,Asia,2004
A/Hong_Kong/HKU14/2004,North,Asia,2004
A/Hong_Kong/HKU15/2004,North,Asia,2004
A/Hong_Kong/HKU21/2004,North,Asia,2004
A/Hong_Kong/HKU25/2004,North,Asia,2004
A/Hong_Kong/HKU30/2004,North,Asia,2004
A/Hong_Kong/HKU40/2004,North,Asia,2004
A/Hong_Kong/HKU47/2005,North,Asia,2005
A/Hong_Kong/HKU57/2005,North,Asia,2005
A/Hong_Kong/HKU63/2005,North,Asia,2005
A/Vermont/02/2009,North,NorthAmerica,2009
A/Washington/16/2009,North,NorthAmerica,2009
A/Texas/02/2009,North,NorthAmerica,2009
A/Texas/AF01/2007,North,NorthAmerica,2008
A/New_York/UR07-0160/2008,North,NorthAmerica,2008
A/Hong_Kong/HKU73/2005,North,Asia,2005
A/Boston/2/2008,North,NorthAmerica,2008
A/Boston/3/2008,North,NorthAmerica,2008
A/Boston/5/2008,North,NorthAmerica,2008
A/Boston/19/2008,North,NorthAmerica,2008
A/Boston/20/2008,North,NorthAmerica,2008
A/Boston/23/2008,North,NorthAmerica,2008
A/Boston/29/2008,North,NorthAmerica,2008
A/Boston/39/2008,North,NorthAmerica,2008
A/Boston/46/2008,North,NorthAmerica,2008
A/Boston/78/2008,North,NorthAmerica,2008
A/Boston/96/2008,North,NorthAmerica,2008
A/California/12/2008,North,NorthAmerica,2008
A/Georgia/07/2009,North,NorthAmerica,2009
A/Texas/40/2009,North,NorthAmerica,2009
A/Oregon/08/2009,North,NorthAmerica,2009
A/Nevada/02/2008,North,NorthAmerica,2008
A/South_Carolina/14/2009,North,NorthAmerica,2009
A/New_York/1670/2009,North,NorthAmerica,2009
A/New_York/1685/2009,North,NorthAmerica,2009
A/New_York/3060/2009,North,NorthAmerica,2009
A/New_York/3079/2009,North,NorthAmerica,2009
A/New_York/3087/2009,North,NorthAmerica,2009
A/New_York/3135/2009,North,NorthAmerica,2009
A/New_York/3137/2009,North,NorthAmerica,2009
A/New_York/3146/2009,North,NorthAmerica,2009
A/New_York/3273/2009,North,NorthAmerica,2009
A/New_York/3542/2009,North,NorthAmerica,2009
A/New_York/3536/2009,North,NorthAmerica,2009
A/New_York/3738/2009,North,NorthAmerica,2009
A/Novosibirsk/1211/2009,North,Asia,2009
A/Novosibirsk/31/2009,North,Asia,2009
A/Novosibirsk/628/2009,North,Asia,2009
A/New_York/3687/2009,North,NorthAmerica,2009
A/New_York/4165/2009,North,NorthAmerica,2009
A/Nanjing/1/2009,North,Asia,2009
A/New_York/3527/2009,North,NorthAmerica,2009
A/New_York/4255/2009,North,NorthAmerica,2009
A/Egypt/N04877/2009,North,Africa,2009
A/Egypt/N08920/2009,North,Africa,2009
A/Egypt/N11354/2009,North,Africa,2009
A/Egypt/N11360/2009,North,Africa,2009
A/Egypt/N11362/2009,North,Africa,2009
A/Egypt/N11368/2009,North,Africa,2009
A/Egypt/N11380/2009,North,Africa,2009
A/Egypt/N11396/2009,North,Africa,2009
A/Egypt/N11830/2009,North,Africa,2009
A/Egypt/N12479/2009,North,Africa,2009
A/Egypt/N13417/2009,North,Africa,2009
A/Egypt/N13578/2009,North,Africa,2009
A/Egypt/N13654/2009,North,Africa,2009
A/Egypt/N13658/2009,North,Africa,2009
A/California/VRDL136/2009,North,NorthAmerica,2009
A/California/VRDL138/2009,North,NorthAmerica,2009
A/California/VRDL145/2009,North,NorthAmerica,2009
A/California/VRDL156/2009,North,NorthAmerica,2009
A/California/VRDL291/2009,North,NorthAmerica,2009
A/California/VRDL296/2009,North,NorthAmerica,2009
A/Qingdao/2144/2009,North,Asia,2009
A/Qingdao/2157/2009,North,Asia,2009
A/Qingdao/2162/2009,North,Asia,2009
A/Qingdao/2181/2009,North,Asia,2009
A/Qingdao/2199/2009,North,Asia,2009
A/Qingdao/2200/2009,North,Asia,2009
A/Qingdao/1115/2009,North,Asia,2009
A/Qingdao/1116/2009,North,Asia,2009
A/Qingdao/1118/2009,North,Asia,2009
A/Qingdao/1157/2009,North,Asia,2009
A/Qingdao/1158/2009,North,Asia,2009
A/Qingdao/1167/2009,North,Asia,2009
A/Qingdao/1231/2009,North,Asia,2009
A/Qingdao/1295/2009,North,Asia,2009
A/Qingdao/1329/2009,North,Asia,2009
A/Qingdao/1341/2009,North,Asia,2009
A/Qingdao/1346/2009,North,Asia,2009
A/Qingdao/1045/2009,North,Asia,2009
A/Qingdao/1046/2009,North,Asia,2009
A/California/VRDL176/2009,North,NorthAmerica,2009
A/California/VRDL177/2009,North,NorthAmerica,2009
A/California/VRDL288/2009,North,NorthAmerica,2009
A/California/VRDL328/2009,North,NorthAmerica,2009
A/California/VRDL339/2009,North,NorthAmerica,2009
A/California/VRDL345/2009,North,NorthAmerica,2009
A/California/VRDL352/2009,North,NorthAmerica,2009
A/California/VRDL360/2009,North,NorthAmerica,2009
A/California/VRDL361/2009,North,NorthAmerica,2009
A/California/VRDL362/2009,North,NorthAmerica,2009
A/California/VRDL166/2009,North,NorthAmerica,2009
A/California/VRDL172/2009,North,NorthAmerica,2009
A/California/VRDL211/2009,North,NorthAmerica,2009
A/California/VRDL212/2009,North,NorthAmerica,2009
A/California/VRDL233/2009,North,NorthAmerica,2009
A/California/VRDL243/2009,North,NorthAmerica,2009
A/California/VRDL250/2009,North,NorthAmerica,2009
A/California/VRDL253/2009,North,NorthAmerica,2009
A/California/VRDL259/2009,North,NorthAmerica,2009
A/California/VRDL262/2009,North,NorthAmerica,2009
A/California/VRDL263/2009,North,NorthAmerica,2009
A/California/VRDL285/2009,North,NorthAmerica,2009
A/California/VRDL293/2009,North,NorthAmerica,2009
A/California/VRDL308/2009,North,NorthAmerica,2009
A/California/VRDL313/2009,North,NorthAmerica,2009
A/California/VRDL315/2009,North,NorthAmerica,2009
A/California/VRDL318/2009,North,NorthAmerica,2009
A/California/VRDL327/2009,North,NorthAmerica,2009
A/California/VRDL333/2009,North,NorthAmerica,2009
A/California/VRDL336/2009,North,NorthAmerica,2009
A/California/VRDL338/2009,North,NorthAmerica,2009
A/California/VRDL181/2009,North,NorthAmerica,2009
A/California/VRDL183/2009,North,NorthAmerica,2009
A/California/VRDL196/2009,North,NorthAmerica,2009
A/California/VRDL204/2009,North,NorthAmerica,2009
A/California/VRDL205/2009,North,NorthAmerica,2009
A/California/VRDL207/2009,North,NorthAmerica,2009
A/California/VRDL210/2009,North,NorthAmerica,2009
A/California/VRDL384/2009,North,NorthAmerica,2009
A/California/VRDL387/2009,North,NorthAmerica,2009
A/California/VRDL390/2009,North,NorthAmerica,2009
A/Japan/WRAIR1037P/2009,North,Asia,2009
A/Korea/WRAIR1038P/2009,North,Asia,2009
A/Washington/WRAIR1057P/2009,North,NorthAmerica,2009
A/Kyrgyzstan/WRAIR1121P/2008,North,Asia,2008
A/Kuwait/WRAIR1143P/2009,North,Asia,2009
A/Alaska/WRAIR1145P/2009,North,NorthAmerica,2009
A/South_Dakota/WRAIR1177P/2009,North,NorthAmerica,2009
A/Delware/WRAIR1240/2009,North,NorthAmerica,2009
A/Korea/WRAIR1391P/2009,North,Asia,2009
A/New_York/20342/2010,North,NorthAmerica,2010
A/California/VRDL386/2009,North,NorthAmerica,2009
A/New_York/20343/2010,North,NorthAmerica,2010
A/Moscow/416/2009,North,Asia,2009
A/Moscow/402/2009,North,Asia,2009
A/Nanjing/1655/2010,North,Asia,2010
A/Nanjing/1654/2010,North,Asia,2010
A/Nanjing/1663/2010,North,Asia,2010
A/Niigata/1147/2010,North,Asia,2010
A/Denmark/105/2010,North,Europe,2010
A/New_York/3745/2009,North,NorthAmerica,2009
A/New_York/3932/2009,North,NorthAmerica,2009
A/Boston/16/2009,North,NorthAmerica,2009
A/Alabama/AF2692/2010,North,NorthAmerica,2010
A/New_York/6630/2009,North,NorthAmerica,2009
A/Vienna/28/2006,North,Europe,2006
A/New_York/3417/2009,North,NorthAmerica,2009
A/New_York/3918/2009,North,NorthAmerica,2009
A/Denmark/22/2011,North,Europe,2011
A/Boston/99/2009,North,NorthAmerica,2009
A/Georgia/NHRC0001/2004,North,NorthAmerica,2004
A/Missouri/NHRC0001/2005,North,NorthAmerica,2005
A/South_Carolina/NHRC0001/2005,North,NorthAmerica,2005
A/Illinois/NHRC0001/2005,North,NorthAmerica,2005
A/California/NHRC0001/2005,North,NorthAmerica,2005
A/Texas/NHRC0001/2006,North,NorthAmerica,2006
A/Illinois/NHRC0001/2006,North,NorthAmerica,2006
A/California/NHRC0001/2006,North,NorthAmerica,2006
A/South_Carolina/NHRC0001/2006,North,NorthAmerica,2006
A/Texas/NHRC0002/2006,North,NorthAmerica,2006
A/Missouri/NHRC0001/2006,North,NorthAmerica,2006
A/Illinois/NHRC0002/2006,North,NorthAmerica,2006
A/Missouri/NHRC0002/2004,North,NorthAmerica,2004
A/Texas/NHRC0001/2005,North,NorthAmerica,2005
A/Hong_Kong/NHRC0001/2005,North,Asia,2005
A/California/NHRC0004/2005,North,NorthAmerica,2005
A/California/NHRC0007/2005,North,NorthAmerica,2005
